2) Rental Object Reference:,3) Rental Object Postcode:,4) Contract Number (Tenancy Reference):,5) Contract Start Date:,6) In the tenant’s view what was the main reason the household left their last settled home?:,"7) If you responded 'Other' to Q6, please state the main reason:",8) Was the reason for leaving a direct result of the removal of the spare room subsidy or benefit cap introduced from 2013?:,9) What was the housing situation for this household immediately before this letting?:,10) Enter Local Authority in which household lived immediately before this letting:,11) Postcode of the previous accommodation (leave blank if previous postcode is unknown or previous accommodation was temporary):,12) How long has the household continuously lived in the local authority area where the new letting is located?:,13) How long has the household been on the waiting list of the local authority district where the new letting is located?:,"14) Immediately prior to this letting, was this household…?:",15) Was the household given reasonable Preference for housing by the Local Authority?:,"16) Which of following reasonable preferences apply (tick any which are applicable, leave un-ticked if Q15 answered ""No"" or ""Don't Know"")?:","17) Was the letting made under any of the following allocations systems? (tick any which are applicable, leave un-ticked if none apply):","20) How many times has the unit been previously offered since becoming available for relet since the last tenancy ended or as a first let? 
For an Affordable Rent or Rent to Buy Letting, only include number of offers as that type. (For a property let at t",21) Reason for vacancy:
1010/106747/10000015,L32 5AB,1010/1100075196,2/5/21,To move to accommodation with support,,No,Lifetime Local Authority General Needs tenancy,Knowsley,,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/103598/10000008,ST4 3DB,1010/1100075209,2/9/21,Other problems with neighbours,,No,Lifetime Local Authority General Needs tenancy,Stoke-on-Trent,ST6 1LN,5 years or more,Don't know,Not homeless,No,,,1,Relet - previous tenant moved to private sector or other accommodation
1010/102974/10000016,TQ3 3SS,1010/1100075211,2/10/21,Property unsuitable because of overcrowding,,No,Bed and breakfast,Torbay,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/106929/10000027,RM17 6DX,1010/1600005785,2/3/21,Domestic abuse,,No,Refuge,Thurrock,,Just moved to the local authority area,Just moved to the local authority area,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,A need to move on medical and welfare grounds (including a disability),,0,Relet - tenant moved to other social housing provider
1020/103837/10000060,TQ3 3FW,1020/1100003279,2/10/21,Property unsuitable because of overcrowding,,No,Lifetime Local Authority General Needs tenancy,Torbay,TQ3 3GS,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant abandoned property
1010/102119/10000041,CB7 4FF,1010/1100075116,2/10/21,To move nearer to family/ friends/ school,,Don't Know,Owner occupation (private),Somerset West and Taunton,TA219DH,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/103720/10000036,SN1 5BZ,1010/1600005782,2/3/21,Discharged from prison or from longstay hospital or other institution,,No,Living with friends or family,Swindon,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Common allocation policy (CAP),0,Relet - tenant moved to other social housing provider
1010/103720/10000032,SN1 5BZ,1010/1600005781,2/3/21,Couldn't afford rent or mortgage - other,,No,Bed and breakfast,Swindon,,4 years but under 5 years,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/105868/10000121,E3 4SW,1010/1100075193,2/5/21,To move to accommodation with support,,No,Sheltered accommodation,Tower Hamlets,E14 3DS,5 years or more,Less than 1 year,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/105868/10000098,E3 4SW,1010/1100075190,2/5/21,To move to independent accommodation,,No,Sheltered accommodation,Tower Hamlets,E14 3DS,5 years or more,Less than 1 year,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/102417/10000019,SP1 3ZA,1010/1100075206,2/10/21,To move nearer to family/ friends/ school,,Don't Know,Private sector tenancy,Wiltshire,SP1 3HU,Don't know,Don't know,Not homeless,Don't Know,Don't know,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106823/10000121,SS4 1QD,1010/1100075242,2/10/21,Property unsuitable because of ill health/ disability,,Don't Know,Lifetime Private Registered Provider General Needs tenancy,Rochford,SS3 0DZ ,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/102766/10000005,PE13 5PW,1010/1100075221,2/10/21,Asked to leave by family or friends,,Don't Know,Living with friends or family,Fenland,PE13 5EF,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/100298/10000008,GL5 1EU,1010/1100075216,2/10/21,To move to independent accommodation,,No,Supported housing,Stroud,GL5 2AD,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1020/106420/10000000,NR30 1EY,1020/1600000919,2/8/21,To move to accommodation with support,,No,Supported housing,Great Yarmouth,,5 years or more,Don't know,Not homeless,No,,,0,Relet - tenant moved to other social housing provider
1020/106476/10000004,PE30 2PT,1020/1600000918,2/8/21,Other,internal transfer,No,Supported housing,King's Lynn and West Norfolk,,5 years or more,Don't know,Not homeless,No,,,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104626/10000015,BA14 7SU,1010/1100075189,2/10/21,To move nearer to family/ friends/ school,,No,Any other temporary accommodation,Wiltshire,SP2 0FX,Don't know,Less than 1 year,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106930/10000016,RM17 6QA,1010/1600005788,2/4/21,Left home country as refugee,,No,Children’s home/ foster care,Thurrock,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/106403/10000432,CH2 2FJ,1010/1100075051,2/2/21,(Non-violent) relationship breakdown with partner,,No,Living with friends or family,Cheshire West and Chester,,5 years or more,1 year but under 2 years,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - tenant moved to other social housing provider
1010/106579/10000018,SP1 1DX,1010/1600005794,2/8/21,End of Assured Shorthold Tenancy - 'eviction/tenant at fault',,No,Rough sleeping,Wiltshire,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1020/106439/10000001,CO15 6BG,1020/1600000920,2/8/21,Asked to leave by family or friends,,No,Living with friends or family,Tendring,CO12 4PQ,Don't know,Don't know,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant evicted due to arrears
1010/100202/10000022,OX16 9FA,1010/1100075143,2/3/21,Other problems with neighbours,,No,Lifetime Local Authority General Needs tenancy,Cherwell,OX16 9FA,1 year but under 2 years,Don't know,Not homeless,No,,,0,Relet - previous tenant died (no succession)
1010/103886/10001238,OX16 0LH,1010/1100075080,2/4/21,Property unsuitable because of overcrowding,,No,Lifetime Private Registered Provider General Needs tenancy,Cherwell,OX16 0JZ,5 years or more,Don't know,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),1,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/103886/10001230,OX16 0SR,1010/1100075118,2/4/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Cherwell,OX16 0PW,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/103886/10000240,OX16 0QZ,1010/1100075121,2/5/21,Asked to leave by family or friends,,No,Living with friends or family,Cherwell,OX16 0EJ,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/103886/10000280,OX16 0DR,1010/1100075226,2/9/21,Property unsuitable because of overcrowding,,No,Any other temporary accommodation,Cherwell,OX16 4AG,1 year but under 2 years,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/106745/10000050,L24 9LJ,1010/1100075098,2/2/21,To move to independent accommodation,,No,Any other temporary accommodation,Liverpool,L17 4JH,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - previous tenant moved to private sector or other accommodation
1010/106728/10000001,CH62 1AY,1010/1100075065,2/1/21,Property unsuitable because of overcrowding,,No,Fixed-term Private Registered Provider General Needs tenancy,Wirral,CH42 4QA,5 years or more,Don't know,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1010/106802/10000022,L6 2AT,1010/1100075144,2/5/21,Property unsuitable because of ill health/ disability,,No,Fixed-term Private Registered Provider General Needs tenancy,Liverpool,L13 2AW,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),7,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/106640/10000052,L8 0TH,1010/1100075145,2/5/21,Property unsuitable because of overcrowding,,No,Fixed-term Private Registered Provider General Needs tenancy,Liverpool,L8 8AG,5 years or more,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),12,Relet - previous tenant moved to private sector or other accommodation
1010/106655/10000017,L9 8BZ,1010/1100075195,2/9/21,To move to independent accommodation,,No,Any other temporary accommodation,Liverpool,L13 3DA,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - previous tenant moved to private sector or other accommodation
1020/106304/10000011,L8 0WN,1020/1100003272,2/8/21,To move nearer to work,,No,Fixed-term Private Registered Provider General Needs tenancy,Liverpool,L9 0JX,5 years or more,Don't know,Not homeless,Yes,A need to move to avoid hardship to themselves or others,Choice-based lettings (CBL),6,Relet - previous tenant moved to private sector or other accommodation
1010/106693/10000053,CH41 2SJ,1010/1100075166,2/8/21,To move to independent accommodation,,No,Living with friends or family,Liverpool,L18 9TY,Just moved to the local authority area,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,A need to move to avoid hardship to themselves or others,Choice-based lettings (CBL),57,Relet - previous tenant moved to private sector or other accommodation
1020/106265/10000142,ST6 3PR,1020/1100003275,2/5/21,To move to accommodation with support,,No,Other,Stoke-on-Trent,ST1 6JN,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/106653/10000051,L17 1AN,1010/1100075192,2/11/21,To move to independent accommodation,,No,Refuge,Liverpool,L6 3AS,2 years but under 3 years,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),2,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/101485/10000009,BN1 4UB,1010/1200008740,2/10/21,To move to accommodation with support,,No,Supported housing,Brighton and Hove,BN1 4FA,Don't know,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/103713/10000028,TQ4 5ND,1010/1100075204,2/11/21,To move to independent accommodation,,No,Any other temporary accommodation,Torbay,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),1,Relet - tenant moved to other social housing provider
1010/106533/10000026,SY14 8QY,1010/1100075095,2/2/21,To move nearer to family/ friends/ school,,No,Sheltered accommodation,Coventry,CV1 4GB,Just moved to the local authority area,Just moved to the local authority area,Not homeless,No,,Choice-based lettings (CBL),3,Relet - previous tenant moved to private sector or other accommodation
1010/106471/10000041,CH3 7NA,1010/1100075158,2/5/21,Other problems with neighbours,,No,Sheltered accommodation,Cheshire West and Chester,CH1 3BD,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),3,Relet - previous tenant died (no succession)
1010/101827/10000038,ST1 3PR,1010/1100075234,2/11/21,Other,Due to a crime that happened to me,No,Private sector tenancy,Stoke-on-Trent,ST1 3LB,5 years or more,Less than 1 year,Not homeless,No,,,1,Relet - previous tenant moved to private sector or other accommodation
1010/106541/10000315,CH1 3HZ,1010/1100075088,2/3/21,To move nearer to family/ friends/ school,,No,Sheltered accommodation,Sefton,L21 0JW,Just moved to the local authority area,Just moved to the local authority area,Not homeless,No,,Choice-based lettings (CBL),3,Relet - previous tenant died (no succession)
1010/106743/10000002,L17 8XN,1010/1100075188,2/9/21,Other,To go to rehab,No,Any other temporary accommodation,Liverpool,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106403/10000006,CH2 2NA,1010/1100075254,2/11/21,Property unsuitable because of overcrowding,,Yes: Both,Living with friends or family,Cheshire West and Chester,,5 years or more,Less than 1 year,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - tenant moved to other social housing provider
1010/104306/10000002,B42 2HZ,1010/1100075239,2/11/21,Property unsuitable because of poor condition,,Don't Know,Fixed-term Private Registered Provider General Needs tenancy,Birmingham,B42 2AR,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),13,Relet - previous tenant moved to private sector or other accommodation
1010/106409/10000476,CH1 5DG,1010/1100075212,2/11/21,Domestic abuse,,No,Lifetime Private Registered Provider General Needs tenancy,Cheshire West and Chester,,5 years or more,2 years but under 3 years,Not homeless,Yes,A need to move to avoid hardship to themselves or others,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/101211/10000031,TQ2 7QB,1010/1100075262,2/11/21,Property unsuitable because of overcrowding,,Yes: Both,Any other temporary accommodation,Torbay,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/102993/10000009,IP1 3PX,1010/1600005803,2/9/21,To move to accommodation with support,,No,Children’s home/ foster care,Ipswich,,2 years but under 3 years,Less than 1 year,Not homeless,Yes,Don't know,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/103645/10000056,SN3 6LQ,1010/1100075286,2/12/21,Property unsuitable because of overcrowding,,No,Living with friends or family,Swindon,,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/102418/10000011,EX32 7AS,1010/1600005787,2/4/21,To move to accommodation with support,,No,Rough sleeping,North Devon,,5 years or more,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,Homeless or about to lose their home (within 56 days),,1,Relet - previous tenant died (no succession)
1010/104649/10000056,SS1 2NF,1010/1600005762,2/1/21,Asked to leave by family or friends,,No,Living with friends or family,Southend-on-Sea,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,A need to move to avoid hardship to themselves or others,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/106929/10000008,RM17 8DX,1010/1600005784,2/3/21,Other,Release from Prison ,No,Living with friends or family,Thurrock,,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/106929/10000015,RM17 6DX,1010/1600005791,2/4/21,Domestic abuse,,No,Living with friends or family,Thurrock,,Don't know,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/102012/10000027,ST5 0HJ,1010/1100075224,2/12/21,(Non-violent) relationship breakdown with partner,,No,Living with friends or family,Newcastle-under-Lyme,ST7 8BW,5 years or more,Less than 1 year,Not homeless,Yes,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106726/10000003,L8 4TD,1010/1100075243,2/11/21,Other problems with neighbours,,No,Lifetime Private Registered Provider General Needs tenancy,Liverpool,L17 1AJ,5 years or more,Less than 1 year,Not homeless,No,,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/104544/10000002,SW18 4DU,1010/1500001761,2/1/21,Discharged from prison or from longstay hospital or other institution,,No,Hospital,Wandsworth,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104792/10000002,B70 6QJ,1010/1100075252,2/12/21,Property unsuitable because of ill health/ disability,,Don't Know,Fixed-term Private Registered Provider General Needs tenancy,Birmingham,B18 5JZ,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),6,Relet - previous tenant moved to private sector or other accommodation
1010/102244/10000017,WR1 2JJ,1010/1100075250,2/11/21,To move to accommodation with support,,Don't Know,Any other temporary accommodation,Worcester,WR5 1DB,Don't know,Don't know,Not homeless,Don't Know,,Common housing register (CHR),0,Relet - tenant moved to other social housing provider
1010/102275/10000046,YO12 6SA,1010/1100075278,2/12/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,Leeds,LS12 1HN,Just moved to the local authority area,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),2,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/105862/10000005,SW8 1TF,1010/1200008737,2/8/21,Property unsuitable because of ill health/ disability,,No,Living with friends or family,Lambeth,SW16 2EQ,5 years or more,Less than 1 year,Not homeless,No,,,0,Relet - tenant moved to other social housing provider
1010/101099/10000089,S5 6DD,1010/1100075236,2/12/21,Property unsuitable because of ill health/ disability,,No,Fixed-term Local Authority General Needs tenancy,Sheffield,S35 4PD,5 years or more,Don't know,Not homeless,Don't Know,,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1020/103166/10000005,S13 8HJ,1020/1500000628,2/12/21,Domestic abuse,,No,Supported housing,Sheffield,,5 years or more,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104647/10000014,SN3 6PB,1010/1100075246,2/11/21,Don’t Know,,No,Any other temporary accommodation,Swindon,,Just moved to the local authority area,Just moved to the local authority area,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/103321/10000038,EX32 9JX,1010/1100075268,2/11/21,Other,Development of Site,No,Fixed-term Local Authority General Needs tenancy,North Devon,,2 years but under 3 years,Less than 1 year,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),1,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/101035/10000003,CM1 2EN,1010/1600005765,2/1/21,Don’t Know,,No,Rough sleeping,Chelmsford,,Don't know,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Don't Know,,,0,Relet - tenant evicted due to ASB or other reason
1010/100546/10000013,PL3 6DE,1010/1100075263,2/11/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,Plymouth,,5 years or more,Don't know,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104365/10000009,PL1 3JE,1010/1100075152,2/9/21,Property unsuitable because of ill health/ disability,,No,Supported housing,Plymouth,,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),3,Relet - tenant abandoned property
1010/101039/10000009,CO2 9PJ,1010/1100075295,2/12/21,Property unsuitable because of overcrowding,,No,Private sector tenancy,Colchester,CO1 1QT,4 years but under 5 years,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106873/10000041,SS3 0QY,1010/1100075300,2/12/21,To move to independent accommodation,,Don't Know,Any other temporary accommodation,Rochford,SS3 0JA,3 years but under 4 years,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Common housing register (CHR),0,Relet - previous tenant died (no succession)
1010/102265/10000004,CB6 3AJ,1010/1100075156,2/8/21,Don’t Know,,Don't Know,Rough sleeping,East Cambridgeshire,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104232/10000049,CB7 4QY,1010/1100075280,2/12/21,To move to independent accommodation,,No,Living with friends or family,East Cambridgeshire,CB6 3AN,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/101783/10000027,CB7 4RE,1010/1100075284,2/12/21,Property unsuitable because of poor condition,,No,Lifetime Private Registered Provider General Needs tenancy,East Cambridgeshire,CB7 4RF,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/102508/10000022,CB7 4RW,1010/1100075304,2/12/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,East Cambridgeshire,CB7 4RG,2 years but under 3 years,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/100660/10000000,SE12 8NP,1010/1600005771,2/1/21,Asked to leave by family or friends,,No,Living with friends or family,Lewisham,,2 years but under 3 years,3 years but under 4 years,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/103553/10000086,ST3 4RA,1010/1100075233,2/12/21,To move to independent accommodation,,No,Living with friends or family,Stafford,ST11 9SE,5 years or more,2 years but under 3 years,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/102024/10000007,HG1 5EF,1010/1100075139,2/3/21,Asked to leave by family or friends,,No,Other,Harrogate,HG2 0BG,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - previous tenant moved to private sector or other accommodation
1010/102024/10000013,HG1 5EF,1010/1100075140,2/3/21,(Non-violent) relationship breakdown with partner,,No,Mobile home/ caravan,Harrogate,HG2 7DG,5 years or more,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Don't Know,,,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/105215/10000003,HU3 1QW,1010/1100075099,2/5/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,"Kingston upon Hull, City of",HU3 1BH,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/102038/10000016,HU6 7LH,1010/1100075082,2/3/21,Asked to leave by family or friends,,No,Living with friends or family,Lewisham,SE6 3PP,Just moved to the local authority area,Just moved to the local authority area,Not homeless,No,,,1,Relet - tenant evicted due to arrears
1010/104494/10000028,HU9 2AY,1010/1100075167,2/8/21,Permanently decanted from another property owned by this landlord,,No,Lifetime Private Registered Provider General Needs tenancy,"Kingston upon Hull, City of",HU9 2AY,5 years or more,Don't know,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104494/10000044,HU9 2AY,1010/1100075171,2/11/21,Property unsuitable because of ill health/ disability,,No,Lifetime Local Authority General Needs tenancy,"Kingston upon Hull, City of",HU3 2HP,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/103725/10000072,TQ12 2FD,1010/1100075244,2/12/21,To move to independent accommodation,,No,Fixed-term Local Authority General Needs tenancy,Torbay,,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant abandoned property
1020/106478/10000010,NR6 6LZ,1020/1600000925,2/11/21,Asked to leave by family or friends,,No,Living with friends or family,Broadland,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/105376/10000015,LA14 2JJ,1010/1200008743,2/15/21,Asked to leave by family or friends,,No,Living with friends or family,Barrow-in-Furness,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/105797/10000006,ST5 2AR,1010/1100075296,2/15/21,To move nearer to work,,No,Lifetime Private Registered Provider General Needs tenancy,Stoke-on-Trent,ST1 2NZ,Just moved to the local authority area,1 year but under 2 years,Not homeless,No,,,1,Relet - previous tenant died (no succession)
1010/104649/10000019,SS1 2GD,1010/1600005800,2/8/21,To move to accommodation with support,,No,Supported housing,Southend-on-Sea,SS1 2NF,5 years or more,Less than 1 year,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104651/10000283,TQ4 9EF,1010/1600005806,2/10/21,Domestic abuse,,No,Living with friends or family,Torbay,TQ5 9BZ,Don't know,Don't know,Not homeless,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/103777/10000098,SS13 1FG,1010/1100075201,2/8/21,Discharged from prison or from longstay hospital or other institution,,No,Residential care home,Brentwood,CM15 9NG,Just moved to the local authority area,2 years but under 3 years,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/101318/10000049,HU3 2EG,1010/1100075105,2/5/21,Property unsuitable because of overcrowding,,No,Living with friends or family,"Kingston upon Hull, City of",HU3 1LZ,5 years or more,Less than 1 year,Not homeless,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/102402/10000038,HU3 2PW,1010/1100075103,2/3/21,Other problems with neighbours,,No,Lifetime Private Registered Provider General Needs tenancy,"Kingston upon Hull, City of",HU1 2AJ,5 years or more,Less than 1 year,Not homeless,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/100413/10000001,BA6 9EB,1010/1600005805,2/11/21,To move nearer to family/ friends/ school,,No,Any other temporary accommodation,Mendip,BA5 3HZ,1 year but under 2 years,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant moved to other social housing provider
1010/104462/10000023,TF2 7AF,1010/1100075237,2/16/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,Blackpool,FY5 3EG,Just moved to the local authority area,Just moved to the local authority area,Not homeless,No,,Common allocation policy (CAP),0,Relet - previous tenant died (no succession)
1020/103166/10000001,S13 8HJ,1020/1500000629,2/15/21,Domestic abuse,,No,Private sector tenancy,Sheffield,S9 1SR,4 years but under 5 years,Don't know,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/100764/10000017,LS14 6UG,1010/1100075273,2/12/21,To move to independent accommodation,,No,Supported housing,Leeds,LS14 2AX,5 years or more,3 years but under 4 years,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/103520/10000018,CB8 9EN,1010/1100075319,2/15/21,Property unsuitable because of poor condition,,No,Lifetime Private Registered Provider General Needs tenancy,East Cambridgeshire,CB8 9XA,Don't know,Don't know,Not homeless,No,,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
